date,open,high,low,close,volume,amount,pct_change
2025-09-09,4448.739,4472.093,4412.6914,4436.2584,22137546000,562861103958.4,-0.700938
2025-09-10,4438.2998,4466.6325,4414.5937,4445.3649,20359764600,535539349489.1,0.205274
2025-09-11,4438.839,4548.0345,4427.9242,4548.0345,25326405100,693156671397.7,2.309588
2025-09-12,4544.5905,4564.6665,4517.7897,4521.998,26644200300,689576075691.4,-0.572478
2025-09-15,4534.8866,4566.9053,4522.4958,4533.0557,23188567800,613314652419.1,0.244531
2025-09-16,4539.9217,4552.419,4494.7875,4523.3367,24926920600,613728334805.9,-0.214403
2025-09-17,4517.2855,4556.0296,4503.7959,4551.023,23571647200,608454200521.1,0.612077
2025-09-18,4546.0319,4573.8331,4454.9886,4498.109,30985982600,839987127411.0,-1.162684
2025-09-19,4499.0906,4533.0919,4491.8437,4501.9195,22504400000,603887059817.1,0.084713
2025-09-22,4512.0251,4523.8695,4487.1299,4522.608,19645995600,563149164266.0,0.459548
2025-09-23,4536.7569,4560.7319,4459.7281,4519.7781,25282706200,680513630695.8,-0.062572
2025-09-24,4495.2659,4567.4948,4494.1133,4566.0708,22048260800,629161495484.1,1.024225
2025-09-25,4563.9827,4613.9486,4558.8424,4593.4875,22982333300,669866986618.6,0.600444
2025-09-26,4576.9142,4597.8472,4550.0487,4550.0487,20848211400,598723903173.9,-0.945661
2025-09-29,4555.0342,4647.5691,4541.4252,4620.0528,27435887700,693395231241.2,1.538535
2025-09-30,4629.8987,4647.5031,4616.2243,4640.6935,24798035900,664624101862.0,0.446763
2025-10-09,4662.1133,4726.3449,4651.9895,4709.482,34767869600,862208005908.4,1.482289
2025-10-10,4679.4983,4692.5858,4600.9646,4616.8341,31902089900,792743047250.5,-1.967263
2025-10-13,4490.8661,4601.8072,4490.8661,4593.9785,31501035400,714001634395.3,-0.495049
2025-10-14,4634.0543,4641.4492,4520.9258,4539.0644,37295403000,808959003201.4,-1.195350
2025-10-15,4544.2431,4608.8239,4526.834,4606.2879,28477185500,607326345325.6,1.480999
2025-10-16,4588.9206,4645.0959,4586.2801,4618.4218,24823551800,560567191741.4,0.263420
2025-10-17,4610.6967,4618.5621,4509.3289,4514.2345,25690561700,559085965218.7,-2.255907
2025-10-20,4558.2421,4570.4376,4520.5024,4538.2201,21842040500,505798833703.2,0.531333
2025-10-21,4556.1224,4615.463,4547.9283,4607.8715,21571117500,551390253215.9,1.534774
2025-10-22,4576.0277,4603.4884,4567.2361,4592.57,18533396000,440935302747.4,-0.332073
2025-10-23,4578.7018,4611.3409,4541.6944,4606.3447,20046391700,420800208775.6,0.299934
2025-10-24,4622.7873,4660.6835,4622.7873,4660.6835,20881448300,551986648560.5,1.179651
2025-10-27,4699.3819,4720.4288,4687.6876,4716.0186,26220067400,672670372522.7,1.187274
2025-10-28,4697.7277,4734.3218,4679.2288,4691.973,22090664500,571563257095.5,-0.509871
2025-10-29,4701.0362,4747.8378,4697.268,4747.8378,24621132400,645898688765.2,1.190646
2025-10-30,4735.9807,4761.8339,4706.452,4709.911,27328911800,719956285438.0,-0.798823
2025-10-31,4702.4946,4706.1395,4640.6676,4640.6676,28146474000,680712251492.7,-1.470164
2025-11-03,4636.7323,4653.4028,4595.7339,4653.4028,23986980900,557602941095.9,0.274426
2025-11-04,4649.3481,4665.323,4595.066,4618.699,23322403200,505177700976.6,-0.745773
2025-11-05,4562.1117,4642.6101,4558.7647,4627.257,20304587100,468361161388.7,0.185290
2025-11-06,4642.0112,4698.0935,4642.0112,4693.4032,22424100800,553641780921.2,1.429491
2025-11-07,4673.7616,4701.3743,4666.0405,4678.7944,21249737700,507573849500.2,-0.311262
2025-11-10,4688.124,4695.1794,4654.2103,4695.0507,23602676400,593977127605.0,0.347446
2025-11-11,4706.3374,4707.1275,4648.4896,4652.1655,18663885800,477629076357.0,-0.913413
2025-11-12,4643.5592,4669.6073,4620.9897,4645.9079,20946059200,492308866408.7,-0.134509
2025-11-13,4643.7862,4703.4897,4643.7862,4702.0738,20736747400,510060678210.4,1.208933
2025-11-14,4663.3175,4684.2578,4628.0242,4628.1398,19209267600,444720433578.5,-1.572370
2025-11-17,4616.8058,4624.8976,4580.2613,4598.0525,18895546600,438940097527.8,-0.650095
2025-11-18,4584.7896,4606.6167,4552.8038,4568.1928,17771318500,420150126547.0,-0.649399
2025-11-19,4568.0365,4607.8627,4568.0365,4588.2922,17292497400,385230481969.8,0.439986
2025-11-20,4619.5401,4620.6529,4560.1814,4564.9483,19456259300,415064817729.8,-0.508771
2025-11-21,4513.3858,4527.0436,4453.1819,4453.6076,22285101300,481295814462.6,-2.439035
2025-11-24,4473.1563,4478.8081,4421.8123,4448.0478,18583372900,425807469499.9,-0.124838
2025-11-25,4475.8359,4510.7729,4467.3529,4490.4047,16957192900,411523796962.4,0.952258
2025-11-26,4490.2021,4538.1361,4485.6984,4517.6255,15620036800,427361377738.4,0.606199
2025-11-27,4520.014,4559.2183,4509.8635,4515.4027,15031177200,417789843567.7,-0.049203
2025-11-28,4511.4972,4531.7219,4492.4256,4526.6616,14290209600,341832317979.4,0.249344
2025-12-01,4539.1877,4576.9654,4531.2917,4576.4856,20038231700,463861587251.4,1.100679
2025-12-02,4571.9098,4575.4945,4539.4312,4554.3347,14849313200,364366426477.8,-0.484016
2025-12-03,4554.5894,4569.821,4523.5017,4531.0486,16976279000,374486168902.9,-0.511295
2025-12-04,4533.6004,4557.4228,4514.1878,4546.5664,14719811000,348767399211.7,0.342477
2025-12-05,4547.9056,4593.8279,4535.0195,4584.5368,19679996800,412146806538.3,0.835145
2025-12-08,4593.1399,4640.6256,4592.7414,4621.7545,19962099000,496716196112.2,0.811809
2025-12-09,4611.379,4628.7049,4584.254,4598.2232,18416034400,452113884581.0,-0.509142
2025-12-10,4586.254,4598.5366,4549.0798,4591.8273,16911110600,401452781497.6,-0.139095
2025-12-11,4597.1901,4610.2787,4547.1372,4552.1848,16841940500,432431093509.7,-0.863327
2025-12-12,4558.7375,4583.6753,4530.7841,4580.95,21282652000,523863221651.9,0.631899
2025-12-15,4550.0028,4595.0463,4548.4382,4552.0596,16758996700,424383389792.3,-0.630664
2025-12-16,4542.4226,4553.0806,4484.27,4497.5545,16516520100,390500134302.7,-1.197372
2025-12-17,4499.7729,4594.6556,4498.9304,4579.875,17842483000,452504741114.1,1.830339
2025-12-18,4553.9788,4571.9683,4544.1416,4552.7926,15168132800,382102395684.6,-0.591335
2025-12-19,4561.3729,4591.0931,4546.8465,4568.1781,15487622000,371577144281.1,0.337935
2025-12-22,4587.6683,4615.8721,4587.6683,4611.6235,16525285600,448240599513.9,0.951044
2025-12-23,4616.026,4644.5347,4607.7992,4620.7341,16925641200,433141326005.5,0.197557
2025-12-24,4623.6831,4639.4278,4602.1444,4634.0586,15371124100,406375640662.1,0.288363
2025-12-25,4629.3195,4651.1535,4621.9208,4642.5357,13943418600,385356060832.4,0.182930
2025-12-26,4639.7895,4676.131,4635.1052,4657.24,17539656500,460426934267.5,0.316730
2025-12-29,4658.2654,4672.0352,4629.0567,4639.3721,20039713300,482613536466.5,-0.383659
2025-12-30,4617.3163,4664.3305,4616.6323,4651.2818,18037497400,457185489036.8,0.256709
2025-12-31,4656.48,4667.0467,4622.0988,4629.9395,17076022400,444491545749.0,-0.458848
2026-01-05,4661.616,4721.6378,4661.616,4717.7457,23414483900,630577351311.4,1.896487
2026-01-06,4719.2088,4790.6938,4718.0099,4790.6938,29697068600,725414566872.9,1.546249
2026-01-07,4796.9335,4802.6028,4751.0713,4776.6658,25909556400,664897929360.7,-0.292818
2026-01-08,4761.0105,4765.4863,4717.0091,4737.6536,23880495700,630655637961.6,-0.816725
2026-01-09,4725.9571,4771.4276,4719.134,4758.9221,25468803800,668788811126.9,0.448925
2026-01-12,4769.6501,4795.9327,4737.5702,4789.9155,29483316500,799954082388.1,0.651269
2026-01-13,4798.0488,4836.9549,4745.5154,4761.0324,30144949700,801054979639.8,-0.602998
2026-01-14,4767.6956,4818.1008,4720.246,4741.9306,36495102300,891334219174.3,-0.401211
2026-01-15,4721.7966,4769.5478,4720.9368,4751.4293,25400363600,674058683639.6,0.200313
2026-01-16,4778.4302,4792.5514,4715.3646,4731.8728,32527892900,785624166096.3,-0.411592
2026-01-19,4720.1945,4761.6317,4715.0867,4734.4556,26761249200,655149256235.7,0.054583
2026-01-20,4736.9096,4748.2297,4684.9684,4718.8782,28271957900,671960685391.4,-0.329022
2026-01-21,4714.5541,4758.2793,4714.2366,4723.0692,26635333200,665330511237.3,0.088813
2026-01-22,4741.7548,4757.7637,4700.4482,4723.7091,27419993200,690235248160.5,0.013548
2026-01-23,4729.585,4734.7942,4684.6172,4702.4966,31463544500,755617735528.3,-0.449064
2026-01-26,4715.3753,4754.1777,4693.1577,4706.964,36300448100,796832970315.2,0.095001
2026-01-27,4705.1744,4736.9857,4675.6409,4705.6918,30147569700,715267914840.3,-0.027028
2026-01-28,4725.6014,4739.6257,4697.9063,4717.9914,38225560200,829414067055.4,0.261377
2026-01-29,4733.0879,4770.9599,4696.0536,4753.8697,41551305500,917966160339.3,0.760457
2026-01-30,4723.081,4738.8711,4645.4706,4706.3401,31978653100,750564885195.4,-0.999809
2026-02-02,4674.2759,4716.6069,4601.7603,4605.9799,30477350000,725920381252.0,-2.132447
2026-02-03,4648.3574,4662.1264,4578.2087,4660.1074,26554940500,666626842810.7,1.175157
2026-02-04,4647.9671,4701.4768,4641.8424,4698.6832,26488103200,636018589862.7,0.827788
2026-02-05,4664.7478,4687.0213,4639.43,4670.4188,23785635100,550433167197.1,-0.601539
2026-02-06,4622.9747,4678.2618,4606.6379,4643.5959,20271647700,505759806237.8,-0.574315
2026-02-09,4693.6715,4719.9642,4679.9037,4719.0559,20725193800,522757267199.4,1.625034
2026-02-10,4718.2552,4732.0871,4713.8684,4724.2956,18700095800,450339578978.4,0.111033
2026-02-11,4715.6697,4723.7043,4703.6873,4713.8185,17339168100,433428613402.0,-0.221771
2026-02-12,4720.0085,4726.0426,4707.7359,4719.578,19784143900,490473852275.1,0.122183
2026-02-13,4693.4106,4703.6332,4658.4038,4660.4056,18916775600,452878594068.8,-1.253765
2026-02-24,4727.2961,4727.373,4698.3488,4707.544,21848889000,526084235584.0,1.011466
2026-02-25,4713.5754,4766.5587,4713.3438,4735.8858,28426835400,596903872616.7,0.602051
2026-02-26,4741.3896,4742.1476,4706.6943,4726.8739,23484764400,599848915404.9,-0.190290
2026-02-27,4698.3,4721.0141,4692.891,4710.6469,26142086500,578820992510.3,-0.343292
2026-03-02,4681.0141,4735.4055,4667.2752,4728.6688,34926075200,752681937770.4,0.382578
2026-03-03,4737.3164,4744.5987,4651.4047,4655.8962,37062427200,801659243770.0,-1.538966
2026-03-04,4609.1918,4639.4204,4575.8249,4602.6247,30303566600,608923128590.3,-1.144173
2026-03-05,4651.9415,4671.5268,4630.3024,4647.6921,25931782500,570443777084.6,0.979167
2026-03-06,4621.4939,4671.7126,4612.7943,4660.439,23852792600,487807080156.9,0.274263
2026-03-09,4600.2535,4625.9814,4548.969,4615.4551,32278761700,665821508005.3,-0.965229
2026-03-10,4648.7851,4677.5958,4648.7851,4674.7562,26390374800,557607876148.6,1.284838
2026-03-11,4681.0316,4711.8671,4674.7088,4704.4959,27017544300,579564397580.3,0.636176
2026-03-12,4700.7205,4704.3791,4654.3147,4687.5601,30298681600,572105482463.8,-0.359992
2026-03-13,4669.0619,4707.4194,4659.4979,4669.14,31077200900,580305608197.8,-0.392957
2026-03-16,4669.2241,4673.6929,4621.8118,4671.5591,29621507000,598799098356.4,0.051810
2026-03-17,4685.5697,4720.8608,4637.368,4637.4392,26302191300,578501505807.6,-0.730375
2026-03-18,4648.7517,4662.2936,4604.5163,4658.3324,23469070500,524173911454.0,0.450533
2026-03-19,4611.4399,4634.5468,4570.392,4583.2511,25413044900,547850295789.2,-1.611763
2026-03-20,4602.8205,4628.7118,4563.0687,4567.0179,25787370300,615463088557.8,-0.354185
2026-03-23,4499.1004,4514.7182,4397.5661,4417.9971,32808194500,671719761060.9,-3.262978
2026-03-24,4458.9074,4474.825,4394.2943,4474.7224,25553251700,530149390314.2,1.283960
2026-03-25,4506.6247,4542.1806,4502.0265,4537.4656,26263927900,550428161188.3,1.402170
2026-03-26,4525.3291,4541.0502,4468.9571,4477.5343,21373678800,471127498414.3,-1.320810
2026-03-27,4431.5034,4519.8903,4431.4205,4502.5698,19240038800,440517561617.1,0.559136
2026-03-30,4461.7367,4496.4109,4447.1373,4491.95,20929309200,444629519711.2,-0.235861
2026-03-31,4491.9209,4523.1745,4450.0493,4450.0493,22454158500,484558113011.2,-0.932795
2026-04-01,4517.2717,4532.1093,4492.0544,4526.0668,21648319600,503744056996.0,1.708240
2026-04-02,4514.4416,4519.6931,4459.6095,4478.9141,19099216100,429949131699.9,-1.041803
2026-04-03,4492.8461,4494.4571,4437.5952,4440.7889,16832170500,373234910157.7,-0.851215
2026-04-07,4445.8613,4458.9264,4420.6939,4440.6162,16263878700,378261695014.8,-0.003889
2026-04-08,4517.3403,4595.556,4513.7705,4595.556,25333921300,641779180969.5,3.489151
2026-04-09,4562.6696,4579.197,4552.4244,4566.2237,18493978300,500445676660.7,-0.638275
2026-04-10,4594.9467,4655.0988,4590.1089,4636.5655,20867860500,625717995648.2,1.540481
2026-04-13,4615.133,4653.3983,4615.133,4646.1546,19671227700,556620945240.3,0.206815
2026-04-14,4676.1235,4701.2837,4654.8526,4701.2837,20470033200,605717793585.3,1.186553
2026-04-15,4726.6381,4731.2729,4672.556,4685.2464,20168850000,604550556798.3,-0.341126
2026-04-16,4694.4309,4739.2208,4689.414,4736.6077,19205760000,567611323592.2,1.096235
2026-04-17,4728.9951,4738.3236,4714.4669,4728.6716,18291533600,587622682307.9,-0.167548
2026-04-20,4727.1661,4763.0427,4720.6853,4757.4419,22163349400,626568410330.9,0.608422
2026-04-21,4750.5149,4776.8258,4722.0074,4767.997,20561405800,580407995619.7,0.221865
2026-04-22,4751.2794,4801.4465,4750.3502,4799.627,20448183000,619505670177.0,0.663381
2026-04-23,4816.0267,4823.4704,4759.86,4786.3273,23286573600,693853775975.6,-0.277099
2026-04-24,4771.7348,4786.444,4735.606,4769.3688,19379831400,680097832547.3,-0.354311
2026-04-27,4776.3351,4795.1682,4762.6441,4770.9469,19279655000,648904814981.1,0.033088
2026-04-28,4757.0766,4778.1891,4743.4355,4758.2083,21672423300,631521664930.9,-0.267004
2026-04-29,4737.5755,4813.6104,4737.1139,4810.3468,23329811000,681020507300.6,1.095759
