date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,turnover
2025-08-21,300750,272.36,272.09,274.89,271.09,182698,5103914720.0,1.4,-0.07,-0.2,0.43
2025-08-22,300750,272.02,280.27,282.44,271.69,264219,7543698627.0,3.95,3.01,8.18,0.62
2025-08-25,300750,283.09,283.37,286.97,279.87,312297,9046692965.0,2.53,1.11,3.1,0.73
2025-08-26,300750,280.11,282.59,284.08,278.67,230245,6648848315.0,1.91,-0.28,-0.78,0.54
2025-08-27,300750,282.09,271.39,282.63,271.28,382584,10859010299.0,4.02,-3.96,-11.2,0.9
2025-08-28,300750,269.15,270.5,272.08,265.81,304664,8407974991.0,2.31,-0.33,-0.89,0.72
2025-08-29,300750,271.4,299.27,309.75,271.04,780139,23482893636.0,14.31,10.64,28.77,1.83
2025-09-01,300750,299.59,297.09,299.99,292.39,429964,13012795663.0,2.54,-0.73,-2.18,1.01
2025-09-02,300750,297.12,295.96,304.19,292.12,371169,11289093082.0,4.06,-0.38,-1.13,0.87
2025-09-03,300750,296.59,302.09,304.74,296.12,508975,15640548986.0,2.91,2.07,6.13,1.2
2025-09-04,300750,306.56,297.12,316.42,293.72,657548,20442631453.0,7.51,-1.65,-4.97,1.55
2025-09-05,300750,292.99,318.2,318.2,292.91,708198,22440211715.0,8.51,7.09,21.08,1.67
2025-09-08,300750,327.09,318.46,330.74,316.59,588346,19349632049.0,4.45,0.08,0.26,1.38
2025-09-09,300750,315.89,313.09,327.67,310.25,434024,14085497657.0,5.47,-1.69,-5.37,1.02
2025-09-10,300750,311.08,309.13,315.09,306.09,367527,11649703595.0,2.87,-1.26,-3.96,0.86
2025-09-11,300750,308.64,315.64,316.07,302.13,380345,12060756826.0,4.51,2.11,6.51,0.89
2025-09-12,300750,318.99,318.09,322.99,315.29,338713,11031032652.0,2.44,0.78,2.45,0.8
2025-09-15,300750,339.1,347.79,364.61,337.11,718410,25586615240.0,8.65,9.34,29.7,1.69
2025-09-16,300750,349.2,346.51,352.09,341.59,377445,13325722241.0,3.02,-0.37,-1.28,0.89
2025-09-17,300750,349.89,370.19,374.97,347.09,543771,20113064234.0,8.05,6.83,23.68,1.28
2025-09-18,300750,367.68,359.98,373.09,353.89,518897,19308545613.0,5.19,-2.76,-10.21,1.22
2025-09-19,300750,358.09,361.58,368.8,354.81,339149,12515443886.0,3.89,0.44,1.6,0.8
2025-09-22,300750,363.59,363.14,365.81,355.87,285278,10474484764.0,2.75,0.43,1.56,0.67
